Stock,MarketCap,EnterpriseVal,TrailingPE,ForwardPE,Beta,DividendYield,Price/Sales,Price/Book,EV/Revenue,EV/EBITDA,ESG_Total,ESG_Environmental,ESG_Social,ESG_Governance,ControversyLevel
D05.SI,124296380416,210280988672,6.235378,11.353247,0.502,6.86,5.693051,1.8697065,9.631,,17.99,1.03,10.75,6.21,2.0
O39.SI,73013895168,27849555968,9.836364,9.660714,0.394,5.05,5.2973876,1.2675726,2.021,,24.36,1.24,12.34,10.79,2.0
U11.SI,58273382400,30188263424,9.838984,9.388141,0.537,5.28,4.3591695,1.239105,2.258,,18.81,0.34,11.7,6.77,2.0
S68.SI,15415487488,14839547904,23.606556,26.181816,0.224,2.5,11.663775,7.5869336,11.228,20.745,19.71,2.35,9.13,8.24,0.0
9CI.SI,12621461504,19202467840,28.111109,14.882353,0.577,4.74,4.483645,0.9308315,6.821,22.38,10.73,2.9,3.15,4.67,1.0
C38U.SI,15359630336,24481886208,14.999999,17.5,0.616,7.76,9.6825,0.987306,15.433,23.311,8.36,2.58,0.9,4.88,0.0
A17U.SI,11617399808,18605240320,15.529412,17.6,0.516,5.76,7.625257,1.1604396,12.212,,13.47,5.54,1.8,6.13,0.0
J69U.SI,4590825472,6125123072,20.636364,18.916666,0.456,6.13,11.094015,0.99387044,14.802,22.592,,,,,
BUOU.SI,3148526080,5697628672,20.875,13.916667,,7.57,6.800654,0.7688766,12.307,19.858,9.25,2.61,1.25,5.39,0.0
ME8U.SI,5587842560,8751122432,16.333334,14.0,0.272,6.92,7.5258355,1.1435239,11.786,17.655,12.39,3.75,2.21,6.42,0.0
M44U.SI,5472068608,10868061184,27.000002,15.428572,0.497,7.46,7.526648,0.82442755,14.949,20.666,,,,,
N2IU.SI,6321096192,12158136320,10.909091,15.000001,0.731,6.68,6.888029,0.6749157,13.249,18.915,12.2,3.07,2.08,7.05,0.0
C09.SI,4332999680,15618615296,23.095238,13.108108,0.531,1.65,1.3245915,0.49198622,4.775,23.58,8.15,2.44,2.91,2.8,1.0
U14.SI,4866825728,13358113792,13.714287,14.400001,0.537,3.13,1.7414085,0.42191622,4.78,16.688,20.27,6.31,8.31,5.65,1.0
H78.SI,11057252352,18210430976,,16.193548,0.2,4.58,5.522827,0.4370538,9.096,24.129,12.83,2.87,3.25,6.71,0.0
BN4.SI,12250101760,22527596544,15.0,12.499999,0.491,5.04,1.8557504,1.1336917,3.413,23.126,29.95,12.81,11.86,5.27,2.0
U96.SI,11726048256,20449888256,11.767858,11.561404,0.464,5.16,1.8273412,2.191553,3.187,13.401,26.67,11.94,10.81,3.92,0.0
S63.SI,23819563008,29441169408,34.68182,29.346155,0.277,2.62,2.1124763,8.903151,2.611,20.899,31.78,11.58,15.22,4.98,2.0
5E2.SI,6872686592,8049203200,40.6,16.916666,0.525,0.74,0.74454653,1.0844017,0.872,15.011,25.34,9.42,9.52,6.4,2.0
BS6.SI,8356170240,-13046335488,7.066666,1.1777778,0.554,5.66,0.31483158,0.31870112,-0.492,-1.763,32.99,9.57,15.32,8.09,2.0
C6L.SI,20092547072,23013425152,7.7701154,14.382979,0.648,7.1,1.0384979,1.4654238,1.189,6.81,23.51,6.58,11.55,5.38,2.0
S58.SI,4340584960,7950583808,18.1875,14.55,0.805,1.03,0.78735054,1.7383512,1.442,13.216,25.72,8.63,12.74,4.35,1.0
Z74.SI,64355074048,73472606208,,20.526316,0.383,2.87,4.555305,2.7368422,5.201,22.43,19.1,4.21,9.3,5.59,2.0
D01.SI,3654855168,6898890240,,15.0,0.525,3.89,0.41209793,6.2937064,0.778,20.303,23.43,8.33,9.38,5.72,0.0
C07.SI,10141755392,24721963008,8.304207,7.167598,0.016,5.79,0.45481986,1.2231861,1.109,6.937,32.31,15.08,11.55,5.68,2.0
J36.SI,11807251456,53520080896,,8.361511,0.426,4.84,0.33000508,0.48691338,1.496,11.755,36.2,16.17,12.74,7.29,2.0
G13.SI,8941345792,5345395200,14.8,12.333334,0.712,5.41,3.5341847,1.077147,2.113,5.741,16.88,1.12,9.42,6.34,1.0
Y92.SI,12942206976,277878669312,10.299999,10.299999,0.658,4.7,0.037881963,0.086729534,0.813,5.367,19.98,5.46,9.15,5.37,2.0
F34.SI,19102752768,41307734016,12.75,9.272727,0.296,5.23,0.28351164,0.9619616,0.613,12.148,31.89,18.36,8.59,4.94,3.0
V03.SI,3177974272,1902586240,13.142858,11.381443,0.542,6.79,1.1615713,1.1044418,0.695,6.824,11.7,4.5,3.44,3.76,0.0
